---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 HS 8-2  1.664e+02  [-120 9.136e-07 7.138e-09 1.280e-05]  [148 0 30]
---------------------------------------------------------------------
 HS 9-1  1.683e+02  [0 1.000e+00 3.906e-03 9.189e-07]  [165 -1 30]
 HS 9-2  1.701e+02  [-120 9.189e-07 3.590e-09 2.966e-05]  [131 0 26]
 HS 9-1  1.721e+02  [0 1.000e+00 3.906e-03 9.745e-07]  [161 -1 27]
 HS 9-2  1.738e+02  [-120 9.745e-07 3.807e-09 5.259e-05]  [123 0 25]
 HS 9-1  1.758e+02  [0 1.000e+00 3.906e-03 9.952e-07]  [162 -1 30]
 HS 9-2  1.777e+02  [-120 9.952e-07 3.887e-09 5.382e-05]  [124 0 22]
 HS 9-1  1.803e+02  [0 1.000e+00 3.906e-03 9.913e-07]  [406 0 51]
 HS 9-2  1.826e+02  [-120 9.913e-07 3.872e-09 4.754e-05]  [297 0 45]
 HS 9-1  1.844e+02  [0 1.000e+00 3.906e-03 9.136e-07]  [160 -1 29]
 HS 9-2  1.863e+02  [-120 9.136e-07 3.569e-09 2.534e-05]  [139 0 28]
---------------------------------------------------------------------
 HS 10-1  1.882e+02  [0 1.000e+00 1.953e-03 9.189e-07]  [165 -1 31]
 HS 10-2  1.899e+02  [-120 9.189e-07 1.795e-09 5.898e-05]  [121 0 24]
 HS 10-1  1.918e+02  [0 1.000e+00 1.953e-03 9.747e-07]  [161 -1 30]
 HS 10-2  1.935e+02  [-120 9.747e-07 1.904e-09 1.050e-04]  [113 0 22]
 HS 10-1  1.954e+02  [0 1.000e+00 1.953e-03 9.330e-07]  [163 -1 32]
 HS 10-2  1.971e+02  [-120 9.330e-07 1.822e-09 1.186e-04]  [113 0 23]
 HS 10-1  2.000e+02  [0 1.000e+00 1.953e-03 9.923e-07]  [406 0 53]
 HS 10-2  2.022e+02  [-120 9.923e-07 1.938e-09 9.495e-05]  [283 0 43]
 HS 10-1  2.041e+02  [0 1.000e+00 1.953e-03 9.136e-07]  [160 -1 31]
 HS 10-2  2.059e+02  [-120 9.136e-07 1.784e-09 5.168e-05]  [129 0 26]
---------------------------------------------------------------------
 HS 11-1  2.078e+02  [0 1.000e+00 9.766e-04 9.192e-07]  [165 -1 31]
 HS 11-2  2.095e+02  [-120 9.192e-07 8.977e-10 1.222e-04]  [111 0 23]
 HS 11-1  2.113e+02  [0 1.000e+00 9.766e-04 9.752e-07]  [161 -1 30]
 HS 11-2  2.131e+02  [-120 9.752e-07 9.523e-10 2.207e-04]  [101 0 21]
 HS 11-1  2.150e+02  [0 1.000e+00 9.766e-04 9.303e-07]  [163 -1 32]
 HS 11-2  2.166e+02  [-120 9.303e-07 9.085e-10 2.363e-04]  [103 0 22]
 HS 11-1  2.196e+02  [0 1.000e+00 9.766e-04 9.954e-07]  [406 0 54]
 HS 11-2  2.223e+02  [-120 9.954e-07 9.721e-10 1.903e-04]  [264 0 40]
 HS 11-1  2.247e+02  [0 1.000e+00 9.766e-04 9.136e-07]  [160 -1 32]
